image,output,flag,username,timestamp
"{""path"":""flagged/image/1f70e0d2169cabf8090c/tower.jpg"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/9307a0db003299ebb9d096e8cc7f14bb578e1d69/tower.jpg"",""size"":null,""orig_name"":""tower.jpg"",""mime_type"":null}","{""path"":""flagged/output/6e9503afabb7d3df8714/image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",blurry,,2024-01-11 22:56:24.044781
"{""path"":""flagged/image/c3dbf660a54110088cfe/tower.jpg"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/9307a0db003299ebb9d096e8cc7f14bb578e1d69/tower.jpg"",""size"":null,""orig_name"":""tower.jpg"",""mime_type"":null}","{""path"":""flagged/output/e9933f33f525c6b6d59c/image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",incorrect,,2024-01-11 22:56:25.543951
"{""path"":""flagged/image/8ce47418c0f43da6877d/tower.jpg"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/9307a0db003299ebb9d096e8cc7f14bb578e1d69/tower.jpg"",""size"":null,""orig_name"":""tower.jpg"",""mime_type"":null}","{""path"":""flagged/output/42bb4246fc0c9535dd38/image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",other,,2024-01-11 22:56:26.693859
"{""path"":""flagged/image/0f67fc300b7878733b63/3.jpeg"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/82ebc72b65ed5524549b1ec609637dabc81b1b05/3.jpeg"",""size"":null,""orig_name"":""3.jpeg"",""mime_type"":null}",,blurry,,2024-01-16 13:53:20.583368
"{""path"":""flagged/image/9c56f25ae1ed76c636db/3.jpeg"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/82ebc72b65ed5524549b1ec609637dabc81b1b05/3.jpeg"",""size"":null,""orig_name"":""3.jpeg"",""mime_type"":null}",,incorrect,,2024-01-16 13:53:22.152340
"{""path"":""flagged/image/c3e5906b188395a1ff8f/3.jpeg"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/82ebc72b65ed5524549b1ec609637dabc81b1b05/3.jpeg"",""size"":null,""orig_name"":""3.jpeg"",""mime_type"":null}",,other,,2024-01-16 13:53:23.398022
"{""path"":""flagged/image/377f8738fb63ac267350/3.jpeg"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/82ebc72b65ed5524549b1ec609637dabc81b1b05/3.jpeg"",""size"":null,""orig_name"":""3.jpeg"",""mime_type"":null}","{""path"":""flagged/output/8835ae93fd2ff13b09d9/image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",incorrect,,2024-01-16 13:53:29.684278
"{""path"":""flagged/image/ea8a249ff1ea57fc217a/3.jpeg"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/82ebc72b65ed5524549b1ec609637dabc81b1b05/3.jpeg"",""size"":null,""orig_name"":""3.jpeg"",""mime_type"":null}","{""path"":""flagged/output/40cc9ec258d503039bcd/image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",blurry,,2024-01-16 13:53:31.052571
"{""path"":""flagged/image/39e07ae7a29d34ace295/3.jpeg"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/82ebc72b65ed5524549b1ec609637dabc81b1b05/3.jpeg"",""size"":null,""orig_name"":""3.jpeg"",""mime_type"":null}","{""path"":""flagged/output/3918e7a7c88deddbd2ce/image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",other,,2024-01-16 13:53:35.419966
"{""path"":""flagged/image/cce99b9aa076a231d8e3/3.jpeg"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/82ebc72b65ed5524549b1ec609637dabc81b1b05/3.jpeg"",""size"":null,""orig_name"":""3.jpeg"",""mime_type"":null}","{""path"":""flagged/output/7d74dbec0b435b4b7ea3/image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",other,,2024-01-16 13:53:36.568795
